Comment,Designator,Footprint,LCSC
AOZ1282CI,U201,SOT-23-6,C111916
WSD3070DN,"Q201,Q202,Q203,Q204,Q205",WSD3070DN,C148387
10n,C306,C_0402_1005Metric,C15195
12p,"C312,C313",C_0402_1005Metric,C1547
10u,C307,C_0402_1005Metric,C15525
0402CG200J500NT,C203,C_0402_1005Metric,C1554
3p3,"C301,C302",C_0402_1005Metric,C1565
FNR4012S220MT,L201,L_Changjiang_FNR4012S,C167789
0,R303,R_0402_1005Metric,C17168
RM04FTN9531,R202,R_0402_1005Metric,C173840
VES220M1HTR-0605,C204,CP_Elec_6.3x5.3,C176676
100R,"R203,R205,R207,R209,R211,R213",R_0402_1005Metric,C25076
Crystal_GND24,Y1,Crystal_SMD_2016-4Pin_2.0x1.6mm,C255898
100k,"R204,R206,R208,R210,R212",R_0402_1005Metric,C25741
0402WGF4992TCE,R201,R_0402_1005Metric,C25897
5k1,"R301,R302,R304,R305",R_0402_1005Metric,C25905
2n2,"L301,L302",L_0603_1608Metric,C29682
CL05B104KB54PNC,"C201,C202,C303,C304,C308,C309,C310,C311",C_0402_1005Metric,C307331
LDL111733R,U202,SOT-223-3_TabPin2,C435835
SW_Push,"SW301,SW302",SW_SPST_PTS810,C470426
ESP32-C3FN4,U1,QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm,C5143572
1u,C305,C_0402_1005Metric,C52923
12V 7.5A,J201,DC-005H-D025,C5353839
22uF,"C205,C206",C_1206_3216Metric,C5672
DSS14,D201,D_SOD-123F,C59293
Conn_01x06_Socket,J101,WJ124-3.81-6P,C69810
12-24V,J202,WJ126V-5.0-2P,C8404
USB_TC2030-USB-NL,J203,Tag-Connect_TC2030-IDC-NL_2x03_P1.27mm_Vertical,
2.4GHz aerial,AE301,Texas_SWRA117D_2.4GHz_Left,
5k1,R101,R_0402_1005Metric,
Conn_01x02_Pin,J103,PinHeader_1x02_P2.54mm_Vertical,
Conn_01x02_Pin,J102,PinHeader_1x02_P2.54mm_Vertical,
DNP,C101,PinHeader_1x02_P2.54mm_Vertical,
