Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C201,CL05B104KB54PNC,C_0402_1005Metric,145.41,-142.28,0.0,top
C202,CL05B104KB54PNC,C_0402_1005Metric,141.8,-140.56,-90.0,top
C203,0402CG200J500NT,C_0402_1005Metric,146.55,-144.7,90.0,top
C204,VES220M1HTR-0605,CP_Elec_6.3x5.3,144.85,-127.36,90.0,top
C205,22uF,C_1206_3216Metric,134.375,-141.025,180.0,top
C206,22uF,C_1206_3216Metric,128.32,-134.975,-90.0,top
C301,3p3,C_0402_1005Metric,130.7975,-111.98,0.0,top
C302,3p3,C_0402_1005Metric,130.7975,-115.98,0.0,top
C303,100n,C_0402_1005Metric,124.4775,-114.91,90.0,top
C304,100n,C_0402_1005Metric,123.7475,-121.06,180.0,top
C305,1u,C_0402_1005Metric,132.85,-118.18,0.0,top
C306,10n,C_0402_1005Metric,132.85,-117.18,0.0,top
C307,10u,C_0402_1005Metric,126.48,-111.07,180.0,top
C308,0.1u,C_0402_1005Metric,126.48,-112.07,180.0,top
C309,0.1u,C_0402_1005Metric,128.0475,-115.365,180.0,top
C310,0.1u,C_0402_1005Metric,123.74,-123.11,180.0,top
C311,0.1u,C_0402_1005Metric,123.7475,-119.0,180.0,top
C312,12p,C_0402_1005Metric,138.9,-118.51,90.0,top
C313,12p,C_0402_1005Metric,135.96,-121.4,-90.0,top
D201,DSS14,D_SOD-123F,144.65,-140.07,0.0,top
J101,Conn_01x06_Socket,WJ124-3.81-6P,128.395,-94.225,0.0,top
J201,12V 7.5A,DC-005H-D025,121.89,-130.71,0.0,top
J202,12-24V,WJ126V-5.0-2P,133.73,-146.59,180.0,top
L201,FNR4012S220MT,L_Changjiang_FNR4012S,143.23,-134.66,90.0,top
L301,2n2,L_0603_1608Metric,130.3275,-113.98,-90.0,top
L302,2n2,L_0603_1608Metric,128.2275,-113.365,-90.0,top
Q201,WSD3070DN,WSD3070DN,122.72,-100.495,0.0,top
Q202,WSD3070DN,WSD3070DN,126.56,-100.495,0.0,top
Q203,WSD3070DN,WSD3070DN,130.32,-100.495,0.0,top
Q204,WSD3070DN,WSD3070DN,134.185,-100.495,0.0,top
Q205,WSD3070DN,WSD3070DN,137.95,-100.495,0.0,top
R101,5k1,R_0402_1005Metric,146.66,-109.47,90.0,top
R201,0402WGF4992TCE,R_0402_1005Metric,147.54,-144.68,90.0,top
R202,RM04FTN9531,R_0402_1005Metric,147.54,-146.6,-90.0,top
R203,100R,R_0402_1005Metric,123.685,-103.635,90.0,top
R204,100k,R_0402_1005Metric,122.69,-103.635,90.0,top
R205,100R,R_0402_1005Metric,127.535,-103.635,90.0,top
R206,100k,R_0402_1005Metric,126.535,-103.635,90.0,top
R207,100R,R_0402_1005Metric,131.295,-103.635,90.0,top
R208,100k,R_0402_1005Metric,130.295,-103.635,90.0,top
R209,100R,R_0402_1005Metric,135.15,-103.635,90.0,top
R210,100k,R_0402_1005Metric,134.145,-103.635,90.0,top
R211,100R,R_0402_1005Metric,138.915,-103.635,90.0,top
R212,100k,R_0402_1005Metric,137.925,-103.635,90.0,top
R213,100R,R_0402_1005Metric,145.43,-143.27,180.0,top
R301,5k1,R_0402_1005Metric,125.5,-114.89,-90.0,top
R302,5k1,R_0402_1005Metric,123.7275,-122.09,0.0,top
R303,0,R_0402_1005Metric,137.44,-118.95,0.0,top
R304,5k1,R_0402_1005Metric,126.5375,-114.89,90.0,top
R305,5k1,R_0402_1005Metric,123.7275,-120.03,180.0,top
SW301,SW_Push,SW_SPST_PTS810,119.225,-128.875,-90.0,top
SW302,SW_Push,SW_SPST_PTS810,119.225,-123.025,-90.0,top
U1,ESP32-C3FN4,QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm,128.55,-119.7,-90.0,top
U201,AOZ1282CI,SOT-23-6,144.3,-145.86,90.0,top
U202,LDL111733R,SOT-223-3_TabPin2,133.63,-135.205,90.0,top
Y1,Crystal_GND24,Crystal_SMD_2016-4Pin_2.0x1.6mm,137.81,-120.91,90.0,top
